trade_id,symbol,strategy,side,anchor,horizon_seconds,status,entry_reference,quantity,at_mono,actual_net_usd,actual_mfe_bps,after_actual_close,source_session,source_inputs,signal_line,open_line,close_line,exit_raw_vwap,exit_fill,move_bps,quote_gross_usd,exit_slippage_usd,fees_usd,net_usd,book_input_line,depth_input_line,book_age_seconds
T01,DOGEUSDT,level_breakout,short,after_close,5,ok,0.097070292,7932.0,533920.0543892,-1.7153941892633708,1.0602625981602034,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,83566,83568,106911,0.09716,0.09716971599999999,-9.241550442641493,-0.7115638559999516,0.0770673119999441,0.8473914589008,-1.6360226269006959,8209446,8209008,0.09271170001011342
T01,DOGEUSDT,level_breakout,short,after_close,15,ok,0.097070292,7932.0,533930.0543892,-1.7153941892633708,1.0602625981602034,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,83566,83568,106911,0.09716,0.09716971599999999,-9.241550442641493,-0.7115638559999516,0.0770673119999441,0.8473914589008,-1.6360226269006959,8262941,8262935,0.09270690008997917
T01,DOGEUSDT,level_breakout,short,after_close,30,ok,0.097070292,7932.0,533945.0543892,-1.7153941892633708,1.0602625981602034,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,83566,83568,106911,0.09717283661119516,0.09718255389485628,-10.563954128742086,-0.8133838560000092,0.07707749399996255,0.8474474655009,-1.7379088155008717,8338626,8338419,0.09161160001531243
T01,DOGEUSDT,level_breakout,short,after_close,60,ok,0.097070292,7932.0,533975.0543892,-1.7153941892633708,1.0602625981602034,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,83566,83568,106911,0.0972,0.09720972,-13.362275658961886,-1.0288438559999387,0.07709904000003748,0.8475659803512001,-1.9535088763511763,8506351,8506275,0.09164920006878674
T01,DOGEUSDT,level_breakout,short,after_close,120,ok,0.097070292,7932.0,534035.0543892,-1.7153941892633708,1.0602625981602034,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,83566,83568,106911,0.09725,0.097259725,-18.51318217936345,-1.4254438560000051,0.0771387000000166,0.8477841321642001,-2.350366688164222,8816287,8815955,0.09185990004334599
T02,SUIUSDT,weak_level_rejection,long,signal,5,ok,1.166558689659091,3520.0,535550.6318192482,-8.299712363019944,0.3541214109100948,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1666000000000003,1.1664833400000003,0.35412141091199817,0.14541240000099265,0.4106431999999671,4.51676936942,-4.782000169418975,16269320,16269320,0.0033526482293382287
T02,SUIUSDT,weak_level_rejection,long,signal,15,ok,1.166558689659091,3520.0,535560.6318192482,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1657369318181818,1.165620358125,-7.0442905975801775,-2.8925876000000272,0.4103394000001259,4.51509863651,-7.8180256365101535,16325634,16325621,0.002762948162853718
T02,SUIUSDT,weak_level_rejection,long,signal,30,ok,1.166558689659091,3520.0,535575.6318192482,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1652536931818183,1.1651371678125,-11.18671944104273,-4.593587599999793,0.4101693000003337,4.514163180065,-9.517920080065128,16415113,16415113,0.003305448219180107
T02,SUIUSDT,weak_level_rejection,long,signal,60,ok,1.166558689659091,3520.0,535605.6318192482,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1654,1.16528346,-9.932544923475291,-4.078587600000105,0.41022080000018946,4.514446401740001,-9.003254801740296,16583552,16583539,0.0014270482352003455
T02,SUIUSDT,weak_level_rejection,long,signal,120,ok,1.166558689659091,3520.0,535665.6318192482,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1666000000000003,1.1664833400000003,0.35412141091199817,0.14541240000099265,0.4106431999999671,4.51676936942,-4.782000169418975,16879407,16879407,0.0037832482485100627
T02,SUIUSDT,weak_level_rejection,long,fill,5,ok,1.166558689659091,3520.0,535550.6455969,-8.299712363019944,0.3541214109100948,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1666000000000003,1.1664833400000003,0.35412141091199817,0.14541240000099265,0.4106431999999671,4.51676936942,-4.782000169418975,16269320,16269320,0.01713030005339533
T02,SUIUSDT,weak_level_rejection,long,fill,15,ok,1.166558689659091,3520.0,535560.6455969,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1657369318181818,1.165620358125,-7.0442905975801775,-2.8925876000000272,0.4103394000001259,4.51509863651,-7.8180256365101535,16325634,16325621,0.01654059998691082
T02,SUIUSDT,weak_level_rejection,long,fill,30,ok,1.166558689659091,3520.0,535575.6455969,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1652536931818183,1.1651371678125,-11.18671944104273,-4.593587599999793,0.4101693000003337,4.514163180065,-9.517920080065128,16415113,16415113,0.01708310004323721
T02,SUIUSDT,weak_level_rejection,long,fill,60,ok,1.166558689659091,3520.0,535605.6455969,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1654,1.16528346,-9.932544923475291,-4.078587600000105,0.41022080000018946,4.514446401740001,-9.003254801740296,16583552,16583539,0.015204700059257448
T02,SUIUSDT,weak_level_rejection,long,fill,120,ok,1.166558689659091,3520.0,535665.6455969,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1666000000000003,1.1664833400000003,0.35412141091199817,0.14541240000099265,0.4106431999999671,4.51676936942,-4.782000169418975,16879407,16879407,0.017560900072567165
T02,SUIUSDT,weak_level_rejection,long,after_close,5,ok,1.166558689659091,3520.0,535563.2672255,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1656,1.16548344,-8.218100534411377,-3.374587600000183,0.4102911999997616,4.51483356302,-8.299712363019944,16344270,16344264,0.03690720000304282
T02,SUIUSDT,weak_level_rejection,long,after_close,15,ok,1.166558689659091,3520.0,535573.2672255,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1651857954545455,1.165069276875,-11.76875382880785,-4.832587599999982,0.41014540000027466,4.5140317432099994,-9.756764743210256,16402452,16402452,0.0318575999699533
T02,SUIUSDT,weak_level_rejection,long,after_close,30,ok,1.166558689659091,3520.0,535588.2672255,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1656866477272727,1.1655700790625,-7.475336985171871,-3.0695876000001476,0.4103216999995851,4.515001296245,-7.994910596244733,16489546,16489533,0.038578799925744534
T02,SUIUSDT,weak_level_rejection,long,after_close,60,ok,1.166558689659091,3520.0,535618.2672255,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1671,1.1669832900000001,4.640232383569879,1.9054124000000172,0.4108191999996791,4.51773727262,-3.0231440726196617,16654000,16653923,0.2394336999859661
T02,SUIUSDT,weak_level_rejection,long,after_close,120,ok,1.166558689659091,3520.0,535678.2672255,-8.299712363019944,0.3541214109100948,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,214171,214173,215032,1.1662,1.16608338,-3.074767367219636,-1.2625876000004155,0.41050240000004123,4.51599504686,-6.189085046860456,16951122,16951122,0.2395483999280259
T03,NEARUSDT,level_breakout,short,signal,5,ok,4.7925207,207.8,536422.1810219288,0.8355616037618623,28.212084717756024,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.79,4.790479,5.2596538602323,0.5238014599999626,0.09953620000007071,1.0952410357130002,-0.6709757757131083,21044610,21044610,0.03128562879282981
T03,NEARUSDT,level_breakout,short,signal,15,ok,4.7925207,207.8,536432.1810219288,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.789,4.7894789,7.346238483644221,0.7316014600000321,0.09951542000001244,1.0951267342840003,-0.46304069428398065,21114649,21114407,0.04468882875517011
T03,NEARUSDT,level_breakout,short,signal,30,ok,4.7925207,207.8,536447.1810219288,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.785,4.7854785,15.692576977288201,1.5628014599999407,0.0994322999999639,1.0946695285680001,0.3686996314319766,21203669,21203576,0.04480132879689336
T03,NEARUSDT,level_breakout,short,signal,60,ok,4.7925207,207.8,536477.1810219288,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.783,4.7834783000000005,19.86574622411019,1.978401459999895,0.09939074000003192,1.0944409257100003,0.7845697942898626,21386660,21386470,0.03955292876344174
T03,NEARUSDT,level_breakout,short,signal,120,missing_or_stale_book,4.7925207,207.8,536537.1810219288,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,,,,,,,,,,
T03,NEARUSDT,level_breakout,short,fill,5,ok,4.7925207,207.8,536422.1838567,0.8355616037618623,28.212084717756024,False,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.79,4.790479,5.2596538602323,0.5238014599999626,0.09953620000007071,1.0952410357130002,-0.6709757757131083,21044833,21044610,0.034120399970561266
T03,NEARUSDT,level_breakout,short,fill,15,ok,4.7925207,207.8,536432.1838567,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.789,4.7894789,7.346238483644221,0.7316014600000321,0.09951542000001244,1.0951267342840003,-0.46304069428398065,21114649,21114407,0.04752359993290156
T03,NEARUSDT,level_breakout,short,fill,30,ok,4.7925207,207.8,536447.1838567,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.785,4.7854785,15.692576977288201,1.5628014599999407,0.0994322999999639,1.0946695285680001,0.3686996314319766,21203669,21203576,0.04763609997462481
T03,NEARUSDT,level_breakout,short,fill,60,ok,4.7925207,207.8,536477.1838567,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.783,4.7834783000000005,19.86574622411019,1.978401459999895,0.09939074000003192,1.0944409257100003,0.7845697942898626,21386660,21386470,0.042387699941173196
T03,NEARUSDT,level_breakout,short,fill,120,missing_or_stale_book,4.7925207,207.8,536537.1838567,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,,,,,,,,,,
T03,NEARUSDT,level_breakout,short,after_close,5,ok,4.7925207,207.8,536432.0665222,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.789833012512031,4.7903119958132825,5.608087384930147,0.5585014599998875,0.09953273000001808,1.0952219488045003,-0.6362532188046308,21113756,21113133,0.12966279999818653
T03,NEARUSDT,level_breakout,short,after_close,15,ok,4.7925207,207.8,536442.0665222,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.784,4.784478399999999,17.779161600700125,1.77060146000001,0.09941151999990563,1.0945552271390002,0.576634712861104,21177110,21176592,0.12409559998195618
T03,NEARUSDT,level_breakout,short,after_close,30,ok,4.7925207,207.8,536457.0665222,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.786,4.7864786,13.605992353878133,1.3550014600000557,0.09945308000002218,1.094783829997,0.16076455000303347,21261078,21260491,0.1311126999789849
T03,NEARUSDT,level_breakout,short,after_close,60,ok,4.7925207,207.8,536487.0665222,0.8355616037618623,28.212084717756024,True,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.jsonl,data/paper-captures/24h-20260926-151653-835-9dde484e/session-20260926T121926Z.inputs.jsonl.gz,275092,275093,275821,4.783846487006737,4.784324871655437,18.099479451936634,1.8025014600000717,0.09940832999999448,1.0945376803845002,0.6085554496155772,21452634,21452070,0.10420679999515414
